School ID,School Name,Network , SY 2015-2016 SQRP Rating
610524,ALCOTT HS,NETWORK 4, Level 1+
400012,AMANDLA,CHARTER, Level 2
400115,CATALYST - MARIA,CHARTER, Level 2
400035,CHICAGO MATH & SCIENCE HS,CHARTER, Level 1+
400036,CHICAGO VIRTUAL,CHARTER, Level 2+
400113,CICS - CHICAGOQUEST HS,CHARTER, Level 2
400108,CICS - HAWKINS HS,CHARTER, Level 2
400033,CICS - LONGWOOD,CHARTER, Level 2+
610564,DISNEY II HS,ISP, Level 1
609710,HARLAN HS,NETWORK 12, Level 3
400162,INTRINSIC HS,CHARTER, Level 1+
609716,KELVYN PARK HS,NETWORK 4, Level 2
609746,KENWOOD HS,NETWORK 9, Level 1+
609720,LANE TECH HS,NETWORK 4, Level 1+
610391,LINDBLOM HS,NETWORK 11, Level 1+
609780,MARINE LEADERSHIP AT AMES HS,SERVICE LEADERSHIP ACADEMIES, Level 1+
609725,MORGAN PARK HS,NETWORK 10, Level 2+
400052,NOBLE - COMER,CHARTER, Level 1
610529,OGDEN HS,NETWORK 6, Level 1+
400064,PERSPECTIVES - JOSLIN HS,CHARTER, Level 2
400061,PERSPECTIVES - LEADERSHIP HS,CHARTER, Level 2
400066,PERSPECTIVES - MATH & SCI HS,CHARTER, Level 2
609734,TAFT HS,NETWORK 1, Level 1
400077,U OF C - WOODLAWN HS,CHARTER, Level 2+
400121,UNO - ROGERS PARK,CHARTER, Level 2+
400149,UNO - SOCCER HS,CHARTER, Level 2+
609755,YOUNG HS,ISP, Level 1+
400087,YOUNG WOMENS HS,CHARTER, Level 2+
