School ID,School Name,Network , SY 2015-2016 SQRP Rating
610555,BANNER WEST HS,OPTIONS, Level 1
400147,CAMELOT - CHICAGO EXCEL HS,OPTIONS, Level 3
610565,CAMELOT - EXCEL ENGLEWOOD HS,OPTIONS, Level 2+
400176,CAMELOT - EXCEL SOUTHWEST HS,OPTIONS, Level 1
400175,CAMELOT - EXCEL WOODLAWN HS,OPTIONS, Level 1
610573,CAMELOT SAFE HS,OPTIONS, Level 2+
400038,COMMUNITY SERVICES WEST HS,OPTIONS, Level 1+
400148,INSTITUTO - LOZANO HS,OPTIONS, Level 2
400164,INSTITUTO - LOZANO MASTERY HS,OPTIONS, Level 1
609783,JEFFERSON HS,OPTIONS, Inability to Rate
400137,LITTLE BLACK PEARL HS,OPTIONS, Level 1
610582,MAGIC JOHNSON - ENGLEWOOD HS,OPTIONS, Level 2
610580,MAGIC JOHNSON - HUMBOLDT PK HS,OPTIONS, Level 3
610566,MAGIC JOHNSON - N LAWNDALE HS,OPTIONS, Level 2
610567,MAGIC JOHNSON - ROSELAND HS,OPTIONS, Level 2
610569,OMBUDSMAN - NORTHWEST HS,OPTIONS, Level 2
610570,OMBUDSMAN - SOUTH HS,OPTIONS, Level 3
610571,OMBUDSMAN - WEST HS,OPTIONS, Level 2
610557,PATHWAYS - ASHBURN HS,OPTIONS, Level 2
610568,PATHWAYS - AVONDALE HS,OPTIONS, Level 2
400173,PATHWAYS - BRIGHTON PARK HS,OPTIONS, Level 2+
610386,PEACE AND EDUCATION HS,OPTIONS, Level 1+
400070,PROLOGUE - EARLY COLLEGE HS,OPTIONS, Level 3
400109,PROLOGUE - JOHNSTON HS,OPTIONS, Level 3
610574,PROLOGUE - WINNIE MANDELA HS,OPTIONS, Level 3
609750,SIMPSON HS,OPTIONS, Level 2+
400134,YCCS - ADDAMS,OPTIONS, Level 1+
400125,YCCS - ASPIRA PANTOJA,OPTIONS, Level 2+
400126,YCCS - ASSOCIATION HOUSE,OPTIONS, Level 2+
400127,YCCS - AUSTIN CAREER,OPTIONS, Level 1+
400131,YCCS - CAMPOS,OPTIONS, Level 1
400128,YCCS - CCA ACADEMY,OPTIONS, Level 1
400150,YCCS - CHATHAM,OPTIONS, Level 2+
400129,YCCS - HOUSTON,OPTIONS, Level 2+
400133,YCCS - INNOVATIONS,OPTIONS, Level 2+
400135,YCCS - LATINO YOUTH,OPTIONS, Level 2+
400124,YCCS - MCKINLEY,OPTIONS, Level 2+
400136,YCCS - OLIVE HARVEY,OPTIONS, Level 2+
400123,YCCS - SCHOLASTIC ACHIEVEMENT,OPTIONS, Level 1
400139,YCCS - SULLIVAN,OPTIONS, Level 1+
400141,YCCS - TRUMAN,OPTIONS, Level 1
400142,YCCS - VIRTUAL,OPTIONS, Level 1
400143,YCCS - WEST TOWN,OPTIONS, Level 1
400144,YCCS - WESTSIDE HOLISTIC,OPTIONS, Level 1+
400145,YCCS - YOUTH CONNECTION,OPTIONS, Level 2+
400130,YCCS - YOUTH DEVELOPMENT,OPTIONS, Level 2+
609748,YORK HS,OPTIONS, Inability to Rate
