School Short Name,School ID,Website URL
ACE TECH HS,400010,http://www.acetechnical.org
ADDAMS,609772,http://www.jaddams.org
AGASSIZ,609773,http://agassizschool.org
AHS - PASSAGES,400060,http://www.passagescharterschool.com
AIR FORCE HS,610513,http://www.afahs.org
ALBANY PARK,610212,http://albanypark.cps.edu
ALCOTT ES,609774,http://www.alcottcollegeprep.net/
ALCOTT HS,610524,http://www.alcottcollegeprep.net
ALDRIDGE,609848,http://aldridge.cps.edu
AMANDLA,400012,http://www.amandlacharterschool.org
AMUNDSEN HS,609695,http://www.amundsenhs.org
ARIEL,609951,http://schools.cuip.net/ariel/
ARMOUR,609777,http://armour.cps.edu
ARMSTRONG G,609779,http://www.georgearmstrongelementary.org
ASHBURN,610287,http://www.ashburnschool.com
ASHE,610268,http://www.asheschool.org
ASPIRA - BUSINESS & FINANCE HS,400172,http://www.aspirail.org/domain/95
ASPIRA - EARLY COLLEGE HS,400013,http://aspirail.org
ASPIRA - HAUGAN,400017,http://www.haugan.aspirail.org
AUDUBON,609782,http://www.audubonelementary.org/
AUSTIN BUS & ENTRP HS,400018,http://www.austinbusinessacademy.net
AUSTIN POLY HS,610501,http://www.austinpolytech.org
AVALON PARK,609786,http://www.avalonparkarts.org
AZUELA,610544,http://azuelaelementaryschool.org
BACK OF THE YARDS HS,610563,http://www.boycp.org
BANNER WEST HS,610555,http://bannerlearning.org
BARNARD,609788,http://www.barnard.cps.edu
BARRY,609789,http://barry.cps.edu
BARTON,609790,http://www.bartonschoolchicago.org
BASS,609791,http://perkinsbasselementary.org/
BATEMAN,609792,http://bateman.cps.edu
BEARD,610083,http://www.beard.cps.edu
BEASLEY,610246,http://beasleyac.org
BEAUBIEN,609796,http://www.beaubienelementary.org
BEETHOVEN,610237,
BEIDLER,609797,http://www.beidlerschool.org
BELDING,609798,http://www.beldingelementary.com
BELL,609799,http://www.agbellschool.com
BELMONT-CRAGIN,609922,http://www.belmontcragin.cps.edu
BENNETT,609800,http://bennettes.org
BLACK,610350,http://www.blackmagnet.org
BLAINE,609803,http://blainecps.com/
BLAIR,610087,http://www.blairearlychildhood.org
BOGAN HS,609698,http://www.boganhs.org
BOND,610238,http://www.bondelementary.org/
BOONE,609804,http://www.boone.cps.edu
BOUCHET,609815,http://www.bouchet-brynmawr.cps.edu
BOWEN HS,610323,http://www.bowenhs.org
BRADWELL,609806,http://auslchicago.org/schools/pages/bradwell
BRENNEMANN,610242,
BRENTANO,609809,http://brentanomathandscienceacademy.org/
BRIDGE,609810,http://bridge.cps.edu
BRIGHT,609811,http://bright.cps.edu
BRIGHTON PARK,610317,http://brightonpark.cps.edu/
BRONZEVILLE HS,610381,http://www.bronzevillescholastic.com
BRONZEVILLE LIGHTHOUSE,400019,http://www.lighthouse-academies.org
BROOKS HS,609726,http://www.brookscollegeprep.org
BROWN R,610091,http://brownacademyeagles.org
BROWN W,609812,
BROWNELL,609813,http://miltonbrunson.webs.com
BRUNSON,609830,
BUDLONG,609817,http://www.budlongschool.com
BURBANK,609818,http://www.burbankschool.org/
BURKE,609819,
BURLEY,609820,http://burley.cps.edu
BURNHAM,609821,http://www.burnham.cps.edu
BURNSIDE,609827,http://www.burnsidescholasticacademy.org
BURR,609828,http://www.burrschool.org
BURROUGHS,609829,http://www.jcburroughs.cps.edu
BYRNE,609832,http://www.byrnecps.org
CALDWELL,609833,http://www.caldwell-academy.org
CALMECA,610353,http://www.calmecaacademy.com
CAMELOT - CHICAGO EXCEL HS,400147,
CAMELOT - EXCEL ENGLEWOOD HS,610565,
CAMELOT - EXCEL SOUTHWEST HS,400176,
CAMELOT - EXCEL WOODLAWN HS,400175,
CAMELOT SAFE - GARFIELD ES,610584,
CAMELOT SAFE - GARFIELD HS,610585,
CAMELOT SAFE ES,610572,
CAMELOT SAFE HS,610573,
CAMERON,609835,http://cameron.cps.edu/
CAMRAS,610539,http://www.Camras.cps.edu
CANTY,609836,http://www.cantyschool.org
CARDENAS,610024,http://www.cardenas.cps.edu
CARNEGIE,609837,http://www.carnegie.cps.edu
CARROLL,609839,http://carroll-rosenwald.cps.edu
CARSON,609842,http://carson.cps.edu
CARTER,609844,http://auslchicago.org/schools/pages/carter
CARVER G,609845,http://www.carverprimary.cps.edu
CARVER MILITARY HS,609760,http://www.carvermilitary.org
CASALS,610021,http://casals.auslchicago.org
CASSELL,609849,http://cassell.cps.edu
CASTELLANOS,609826,http://www.castellanos.cps.edu/
CATALYST - CIRCLE ROCK,400021,http://www.catalystschools.org/circle-rock
CATALYST - MARIA,400115,http://www.catalystschools.org/maria
CATHER,610251,http://www.cather.cps.edu
CHALMERS,609851,http://chalmers.auslchicago.org
CHAPPELL,609852,http://chappellelementaryschool.org/
CHASE,609853,http://www.chase.cps.edu
CHAVEZ,610148,http://www.chavez.cps.edu
CHICAGO ACADEMY ES,610248,http://www.chicagoacademy.org
CHICAGO ACADEMY HS,610340,http://cahs.auslchicago.org
CHICAGO AGRICULTURE HS,609753,http://www.chicagoagr.org
CHICAGO ARTS HS,400022,http://www.chiarts.org
CHICAGO COLLEGIATE,400161,http://www.chicagocollegiate.org
CHICAGO MATH & SCIENCE HS,400035,http://www.cmsaonline.net
CHICAGO MILITARY HS,609754,http://www.chicagomilitaryacademy.org
CHICAGO TECH HS,400091,http://www.chitech.org
CHICAGO VIRTUAL,400036,http://www.k12.com/cvcs/home
CHICAGO VOCATIONAL HS,609674,http://www.cvcacademy.org
CHOPIN,609854,http://www.chopinschool.org
CHRISTOPHER,609855,http://www.wschristopher.org
CHRISTOPHER HOUSE,400159,https://christopherhouse.org
CICS - AVALON/SOUTH SHORE,400023,http://www.cicsavalon.org
CICS - BASIL,400024,http://meditatemotivategraduate.org
CICS - BOND,400092,http://www.chicagointl.org/campuses/lloyd-bond.html
CICS - BUCKTOWN,400025,http://www.cicsbucktown.org/
CICS - CHICAGOQUEST HS,400113,http://www.chicagoquest.org
CICS - ELLISON HS,400032,http://www.cicsellison.org
CICS - HAWKINS HS,400108,http://larryhawkinscharter.org
CICS - IRVING PARK,400027,http://cicsirvingpark.org/
CICS - LONGWOOD,400033,http://www.longwoodcharter.org
CICS - LOOMIS,400026,http://www.chicagointl.org/campuses/loomis-primary.html
CICS - NORTHTOWN HS,400034,http://www.cicsnorthtown.org
CICS - PRAIRIE,400028,http://cicsprairie.org/
CICS - WASHINGTON PARK,400029,http://www.chicagointl.org/campuses/washington-park.html
CICS - WEST BELDEN,400030,http://www.chicagointl.org
CICS - WRIGHTWOOD,400031,http://www.cicswrightwood.org
CLAREMONT,610347,http://www.claremont.cps.edu/
CLARK ES,609795,http://georgerogersclarkes.org/
CLARK HS,610244,http://www.micheleclark.org
CLAY,609856,http://www.henryclayschool.com
CLEMENTE HS,609759,http://www.rccachicago.org
CLEVELAND,609857,http://www.clevelandschool.org
CLINTON,609859,http://www.clinton.cps.edu
CLISSOLD,609861,http://www.clissold-school.org
COLEMON,610199,
COLES,609862,http://www.colesacademy.com
COLLINS HS,610499,http://auslchicago.org/schools/pages/collins
COLUMBIA EXPLORERS,610170,http://www.columbiaea.cps.k12.il.us
COLUMBUS,609863,
COMMUNITY SERVICES WEST HS,400038,http://www.cswcareeracademy.com
COOK,609864,
COONLEY,609866,http://coonley.cps.edu
COOPER,609867,http://cooper.cps.edu
CORKERY,609870,http://www.corkery.cps.edu
CORLISS HS,609761,http://www.newcorlisshs.org
COURTENAY,610355,http://courtenay.cps.edu
CRANE MEDICAL HS,610561,http://www.newcranemedicalprep.org
CROWN,609873,
CUFFE,610003,
CULLEN,610004,
CURIE HS,609756,http://www.curiehs.org
CURTIS,609900,http://auslchicago.org/schools/pages/curtis
DALEY,610239,http://rjdaley.org
DARWIN,609875,http://www.darwinelementary.com
DAVIS M,610521,http://www.milesdavismagnet.org
DAVIS N,609876,
DAWES,609879,http://www.dawes.cps.edu
DE DIEGO,610313,
DECATUR,609880,http://www.decaturclassical.org
DENEEN,609883,http://deneen.auslchicago.org
DEPRIEST,610367,http://www.depriestschool.org
DETT,610252,http://dett.cps.edu
DEVER,609884,http://deverelementary.org/
DEVRY HS,610402,http://www.devry.cps.edu
DEWEY,609885,http://dewey.auslchicago.org
DIRKSEN,609874,http://www.dirksen.cps.edu
DISNEY,610363,http://www.disney.cps.edu
DISNEY II ES,610515,http://www.disneyiimagnet.org
DISNEY II HS,610564,http://disneyiimagnet.org
DIXON,609887,http://www.dixon.cps.edu
DODGE,609888,http://auslchicago.org/schools/pages/dodge
DOOLITTLE,609891,http://jrdacademy.cps.edu
DORE,609893,http://www.dorebulldogschicago.org
DOUGLASS HS,610245,http://www.douglassacademy.org
DRAKE,609894,http://www.drake.cps.edu
DRUMMOND,609896,http://www.drummondschool.org
DUBOIS,610364,http://www.dubois.cps.edu
DULLES,610263,http://auslchicago.org/schools/pages/dulles
DUNBAR HS,609676,http://dunbar.cps.edu
DUNNE,610188,
DURKIN PARK,610352,http://durkinpark.com/
