Early College Credit and Career Certification (ECCC) SY2015 Metric, a 3+ on an AP exam,,,
,,,,
,,,,
School ID,Students Earning ECCC,,Dual Enrollment,AP Exam
,Number,Percent,Number,Number
400010,76,0.0,1,2
400013,0,0.0,0,0
400015,2,0.0,2,0
400018,0,0.0,0,0
400022,43,0.0,2,41
400032,2,0.0,2,0
400033,3,0.0,0,0
400034,29,0.0,21,11
400035,12,0.0,2,9
400036,4,0.0,1,0
400038,0,0.0,0,0
400042,0,0.0,0,0
400051,7,0.0,0,6
400052,20,0.0,0,19
400053,56,0.0,1,56
400054,50,0.0,0,50
400055,39,0.0,0,39
400056,23,0.0,0,23
400057,62,0.0,1,61
400058,1,0.0,0,1
400059,1,0.0,0,0
400061,4,0.0,2,1
400062,4,0.0,2,0
400064,4,0.0,0,4
400066,7,0.0,1,4
400070,1,0.0,0,1
400073,0,0.0,0,0
400077,3,0.0,3,0
400085,65,0.0,8,63
400086,3,0.0,2,1
400087,3,0.0,1,3
400091,8,0.0,0,2
400094,16,0.0,15,4
400097,59,0.6,1,57
400098,103,0.0,66,62
400102,1,0.0,0,1
400104,20,0.0,18,0
400105,1,0.0,0,1
400106,9,0.0,0,9
400108,0,0.0,0,0
400109,1,0.0,0,0
400113,*,*,*,*
400123,0,0.0,0,0
400124,1,0.0,1,0
400125,3,2.2,1,0
400126,3,0.0,2,1
400127,0,0.0,0,0
400128,1,0.0,0,1
400129,0,0.0,0,0
400130,4,0.0,2,0
400131,2,0.0,1,1
400133,5,0.0,4,1
400134,9,0.0,8,1
400135,1,0.0,0,1
400136,2,0.0,2,0
400137,0,0.0,0,0
400139,1,0.0,0,0
400141,11,0.0,11,0
400142,1,0.0,0,0
400143,0,0.0,0,0
400144,2,0.0,2,0
400145,3,0.0,3,0
400147,1,0.0,0,0
400148,*,*,*,*
400150,0,0.0,0,0
400164,0,0.0,0,0
400173,3,0.0,0,3
400175,1,0.0,0,0
400176,1,0.0,0,0
609674,49,0.0,12,1
609676,80,0.0,0,0
609678,174,0.0,16,174
609679,193,6.9,12,32
609680,201,0.0,7,200
609682,70,26.3,1,12
609691,75,14.4,1,45
609692,164,0.0,2,1
609693,98,0.0,8,89
609694,58,0.0,22,45
609695,84,21.9,6,13
609698,49,0.0,1,25
609702,0,0.0,0,0
609704,63,7.3,3,34
609705,32,0.0,6,0
609707,26,50.0,0,0
609708,79,24.8,2,36
609709,36,6.5,0,21
609710,12,0.0,0,6
609711,17,5.7,0,0
609712,3,0.0,0,0
609713,10,0.0,0,1
609715,154,17.7,2,53
609716,32,11.3,3,13
609718,89,7.8,12,64
609719,93,4.8,6,70
609720,783,0.0,27,767
609722,40,0.0,1,22
609723,15,0.0,1,0
609724,92,0.0,4,62
609725,52,0.0,2,8
609726,117,43.4,6,88
609727,27,8.9,10,1
609728,90,13.1,6,36
609729,111,0.0,28,51
609730,109,0.0,6,50
609732,128,0.0,9,38
609733,33,10.7,18,4
609734,236,17.8,21,92
609735,20,9.9,0,4
609736,1,0.0,0,0
609737,93,0.0,12,83
609738,348,0.0,12,297
609739,151,0.0,1,32
609740,24,4.0,0,18
609741,188,19.2,20,67
609744,0,0.0,0,0
609745,1,0.0,0,0
609746,172,36.0,93,64
609748,1,0.0,0,0
609749,242,0.0,12,242
609750,*,*,*,*
609751,49,0.0,12,41
609753,67,36.4,27,5
609754,40,0.0,2,7
609755,374,0.0,21,371
609756,320,9.9,11,145
609759,64,10.5,0,10
609760,90,29.5,5,38
609761,39,0.0,9,0
609762,19,6.8,2,0
609764,155,23.2,4,63
609766,0,0.0,0,0
609768,2,0.0,2,0
609769,27,0,0.0,0.0
609780,46,67.3,2,8
609783,*,*,*,*
610244,1,0.0,1,0
610245,15,0.0,0,12
610304,80,0.0,5,63
610323,25,16.0,2,6
610334,11,12.2,0,0
610340,44,0.0,34,18
610357,23,34.4,2,19
610380,79,10,12.7,5.1
610381,6,3.6,0,1
610383,32,0.0,0,32
610384,56,36.2,2,44
610385,1,0.0,1,1
610386,4,0.0,0,3
610389,8,0.0,7,0
610390,82,21.3,1,33
610391,111,0.0,21,94
610392,29,17.2,0,26
610394,6,0.0,1,6
610402,95,100.0,93,28
610495,*,*,*,*
610497,0,0.0,0,0
610499,10,0.0,10,0
610501,2,0.0,0,0
610506,7,0.0,6,0
610513,82,0.0,3,5
610518,2,0.0,0,0
610524,3,0.0,0,3
610529,40,0.0,4,19
610543,82,0.9,19,68
610547,37,0.0,2,4
610555,1,0.0,0,1
610557,4,0.0,0,4
610565,0,0.0,0,0
610566,0,0.0,0,0
610567,0,0.0,0,0
610568,2,0.0,0,0
610569,3,0.0,1,2
610570,2,0.0,0,1
610571,4,0.0,0,2
610573,*,*,*,*
610580,1,0.0,0,1
610582,0,0.0,0,0
800003,*,*,*,*
800007,*,*,*,*
800008,*,*,*,*
800011,*,*,*,*
800012,*,*,*,*
800014,*,*,*,*
800016,*,*,*,*
