School ID, Category, Category Type, Year, Composite Score Mean, Total Tested
400010,Overall,Overall,2007,15.9,104
400010,Overall,Overall,2008,15.8,86
400010,Overall,Overall,2009,15.3,107
400010,Overall,Overall,2010,15.6,119
400010,Overall,Overall,2011,16.1,105
400010,Overall,Overall,2012,15.9,110
400010,Overall,Overall,2013,16.3,88
400010,Overall,Overall,2014,15.2,90
400010,Overall,Overall,2015,14.7,117
610513,Overall,Overall,2012,18.2,90
610513,Overall,Overall,2013,18.1,72
610513,Overall,Overall,2014,18.5,101
610513,Overall,Overall,2015,18.6,86
610524,Overall,Overall,2012,18.0,66
610524,Overall,Overall,2013,16.9,66
610524,Overall,Overall,2014,17.7,50
610524,Overall,Overall,2015,17.4,54
400012,Overall,Overall,2015,16.3,32
609695,Overall,Overall,2001,15.3,282
609695,Overall,Overall,2002,15.4,259
609695,Overall,Overall,2003,15.5,255
609695,Overall,Overall,2004,15.9,235
609695,Overall,Overall,2005,15.9,264
609695,Overall,Overall,2006,16.0,265
609695,Overall,Overall,2007,16.5,292
609695,Overall,Overall,2008,16.9,259
609695,Overall,Overall,2009,16.3,279
609695,Overall,Overall,2010,16.0,341
609695,Overall,Overall,2011,16.6,367
609695,Overall,Overall,2012,16.8,349
609695,Overall,Overall,2013,16.5,393
609695,Overall,Overall,2014,17.0,263
609695,Overall,Overall,2015,18.1,246
400013,Overall,Overall,2008,14.5,10
400013,Overall,Overall,2010,15.9,120
400013,Overall,Overall,2011,15.5,112
400013,Overall,Overall,2012,16.6,95
400013,Overall,Overall,2013,16.1,123
400013,Overall,Overall,2014,15.3,99
400013,Overall,Overall,2015,16.5,111
400015,Overall,Overall,2006,16.9,101
400015,Overall,Overall,2007,16.6,57
400015,Overall,Overall,2008,17.6,60
400015,Overall,Overall,2009,15.7,79
400015,Overall,Overall,2010,15.8,78
400015,Overall,Overall,2011,15.5,96
400015,Overall,Overall,2012,15.6,95
400015,Overall,Overall,2013,14.9,100
400015,Overall,Overall,2014,15.5,70
400018,Overall,Overall,2009,14.5,128
400018,Overall,Overall,2010,15.4,81
400018,Overall,Overall,2011,14.4,61
400018,Overall,Overall,2012,14.1,81
400018,Overall,Overall,2013,13.7,55
400018,Overall,Overall,2014,14.5,50
400018,Overall,Overall,2015,14.0,26
610501,Overall,Overall,2010,14.6,101
610501,Overall,Overall,2011,14.9,78
610501,Overall,Overall,2012,14.6,44
610501,Overall,Overall,2013,14.5,42
610501,Overall,Overall,2014,14.0,43
610501,Overall,Overall,2015,14.1,32
610555,Overall,Overall,2012,12.9,58
610555,Overall,Overall,2013,13.0,43
610555,Overall,Overall,2014,13.5,66
610555,Overall,Overall,2015,12.9,11
800001,Overall,Overall,2015,,6
800003,Overall,Overall,2015,,6
609698,Overall,Overall,2001,16.1,358
609698,Overall,Overall,2002,15.7,312
609698,Overall,Overall,2003,16.0,410
609698,Overall,Overall,2004,15.9,345
609698,Overall,Overall,2005,15.4,322
609698,Overall,Overall,2006,15.5,421
609698,Overall,Overall,2007,15.7,396
609698,Overall,Overall,2008,15.7,450
609698,Overall,Overall,2009,15.0,417
609698,Overall,Overall,2010,15.0,385
609698,Overall,Overall,2011,15.2,440
609698,Overall,Overall,2012,15.7,360
