School ID|School Name|Network|Rating
400010|ACE TECH HS|CHARTER|Level 2
610513|AIR FORCE HS|SERVICE LEADERSHIP ACADEMIES|Level 1
609695|AMUNDSEN HS|NETWORK 2|Level 1
400013|ASPIRA - EARLY COLLEGE HS|CHARTER|Level 2
400018|AUSTIN BUS & ENTRP HS|NETWORK 3|Level 2
610501|AUSTIN POLY HS|NETWORK 3|Level 2
610563|BACK OF THE YARDS HS|NETWORK 8|Level 1+
609698|BOGAN HS|OS4|Level 2
610323|BOWEN HS|OS4|Level 2+
610381|BRONZEVILLE HS|OS4|Level 2+
609726|BROOKS HS|ISP|Level 1+
609760|CARVER MILITARY HS|SERVICE LEADERSHIP ACADEMIES|Level 1
610340|CHICAGO ACADEMY HS|AUSL|Level 1
609753|CHICAGO AGRICULTURE HS|NETWORK 10|Level 1+
400022|CHICAGO ARTS HS|CONTRACT|Level 1+
609754|CHICAGO MILITARY HS|SERVICE LEADERSHIP ACADEMIES|Level 1
400091|CHICAGO TECH HS|CONTRACT|Level 2
609674|CHICAGO VOCATIONAL HS|OS4|Level 2
400032|CICS - ELLISON HS|CHARTER|Level 2+
400034|CICS - NORTHTOWN HS|CHARTER|Level 1+
610244|CLARK HS|NETWORK 3|Level 2+
609759|CLEMENTE HS|OS4|Level 2
610499|COLLINS HS|AUSL|Level 2
609761|CORLISS HS|NETWORK 13|Level 2
610561|CRANE MEDICAL HS|NETWORK 6|Level 1+
609756|CURIE HS|NETWORK 8|Level 2+
610402|DEVRY HS|NETWORK 4|Level 1+
610245|DOUGLASS HS|NETWORK 3|Level 2
609676|DUNBAR HS|NETWORK 9|Level 2
400094|EPIC HS|CHARTER|Level 2+
609704|FARRAGUT HS|NETWORK 7|Level 2
609705|FENGER HS|NETWORK 13|Level 2
609708|FOREMAN HS|NETWORK 1|Level 2
609709|GAGE PARK HS|NETWORK 8|Level 2
610558|GOODE HS|NETWORK 10|Level 2+
609769|GRAHAM HS|NETWORK 6|Inability to Rate
609694|HANCOCK HS|NETWORK 8|Level 1
609711|HARPER HS|NETWORK 11|Level 2
609712|HIRSCH HS|OS4|Level 3
609768|HOPE HS|NETWORK 11|Level 2
609741|HUBBARD HS|NETWORK 10|Level 1
609713|HYDE PARK HS|NETWORK 9|Level 2
610384|INFINITY HS|NETWORK 7|Level 1+
400104|INSTITUTO - HEALTH|CHARTER|Level 2+
609678|JONES HS|ISP|Level 1+
609764|JUAREZ HS|ISP|Level 2+
609762|JULIAN HS|NETWORK 13|Level 2
609715|KELLY HS|OS4|Level 2+
609718|KENNEDY HS|NETWORK 10|Level 2+
609751|KING HS|NETWORK 9|Level 1
609719|LAKE VIEW HS|NETWORK 2|Level 1
400119|LEGAL PREP HS|CHARTER|Level 2+
609738|LINCOLN PARK HS|ISP|Level 1+
609722|MANLEY HS|NETWORK 5|Level 2
610502|MARINE MILITARY HS|SERVICE LEADERSHIP ACADEMIES|Inability to Rate
609723|MARSHALL HS|ISP|Level 2
609724|MATHER HS|NETWORK 2|Level 2+
610385|MULTICULTURAL HS|NETWORK 7|Level 2+
400170|NOBLE - ACADEMY HS|CHARTER|Level 1
400157|NOBLE - BAKER HS|CHARTER|Level 2+
400097|NOBLE - BULLS HS|CHARTER|Level 1
400156|NOBLE - BUTLER HS|CHARTER|Level 2+
400118|NOBLE - DRW HS|CHARTER|Level 2
400053|NOBLE - GOLDER HS|CHARTER|Level 1
400117|NOBLE - HANSBERRY HS|CHARTER|Level 1
400169|NOBLE - ITW SPEER HS|CHARTER|Level 1+
400106|NOBLE - JOHNSON HS|CHARTER|Level 2+
400098|NOBLE - MUCHIN HS|CHARTER|Level 1+
400051|NOBLE - NOBLE HS|CHARTER|Level 1
400054|NOBLE - PRITZKER HS|CHARTER|Level 1
400055|NOBLE - RAUNER HS|CHARTER|Level 1
400056|NOBLE - ROWE CLARK HS|CHARTER|Level 2+
400057|NOBLE - UIC HS|CHARTER|Level 1+
400058|NORTH LAWNDALE - CHRISTIANA HS|CHARTER|Level 2+
400059|NORTH LAWNDALE - COLLINS HS|CHARTER|Level 2
609691|NORTH-GRAND HS|NETWORK 5|Level 2+
609744|NORTHSIDE LEARNING HS|NETWORK 1|Inability to Rate
609749|NORTHSIDE PREP HS|NETWORK 1|Level 1+
610389|ORR HS|AUSL|Level 3
609680|PAYTON HS|ISP|Level 1+
400062|PERSPECTIVES - TECH HS|CHARTER|Level 2
609727|PHILLIPS HS|AUSL|Level 2
610304|PHOENIX MILITARY HS|SERVICE LEADERSHIP ACADEMIES|Level 1+
609679|PROSSER HS|NETWORK 3|Level 1
610334|RABY HS|OS4|Level 2
609682|RICHARDS HS|NETWORK 8|Level 2
610390|RICKOVER MILITARY HS|SERVICE LEADERSHIP ACADEMIES|Level 1+
609707|ROBESON HS|NETWORK 11|Level 3
609728|ROOSEVELT HS|NETWORK 1|Level 2
609729|SCHURZ HS|NETWORK 1|Level 2
609730|SENN HS|NETWORK 2|Level 1
400073|SHABAZZ - DUSABLE HS|CHARTER|Level 2
609692|SIMEON HS|NETWORK 11|Level 1
610383|SOCIAL JUSTICE HS|NETWORK 7|Level 1
610543|SOLORIO HS|AUSL|Level 2+
610547|SOUTH SHORE INTL HS|NETWORK 12|Level 2+
609745|SOUTHSIDE HS|NETWORK 11|Inability to Rate
610357|SPRY HS|NETWORK 7|Level 2+
609732|STEINMETZ HS|NETWORK 3|Level 2
609733|SULLIVAN HS|NETWORK 2|Level 2
610506|TEAM HS|NETWORK 11|Level 2
609735|TILDEN HS|NETWORK 8|Level 3
400085|UNO - GARCIA HS|CHARTER|Level 1
610394|UPLIFT HS|NETWORK 2|Level 2+
400105|URBAN PREP - BRONZEVILLE HS|CHARTER|Level 2+
400086|URBAN PREP - ENGLEWOOD HS|CHARTER|Level 2+
400102|URBAN PREP - WEST HS|CHARTER|Level 2
609766|VAUGHN HS|NETWORK 1|Inability to Rate
610518|VOISE HS|NETWORK 3|Level 2
609737|VON STEUBEN HS|NETWORK 1|Level 1+
609739|WASHINGTON HS|NETWORK 13|Level 2+
609740|WELLS HS|NETWORK 6|Level 2
609693|WESTINGHOUSE HS|NETWORK 5|Level 1+
610380|WILLIAMS HS|NETWORK 9|Level 1
610392|WORLD LANGUAGE HS|NETWORK 7|Level 1
