CPS Graduates College Enrollment/Persistence by School for 2010-2014,,SY 2014,,,SY 2013,,,,,SY 2012,,,,,SY 2011,,,,,SY 2010,,,,
School ID,School Name,Graduates,Enrollments,Enrollment Pct,Graduates,Enrollments,Enrollment Pct,# of Enrollments Persisting,Persistence Pct,Graduates,Enrollments,Enrollment Pct,# of Enrollments Persisting,Persistence Pct,Graduates,Enrollments,Enrollment Pct,# of Enrollments Persisting,Persistence Pct,Graduates,Enrollments,Enrollment Pct,# of Enrollments Persisting,Persistence Pct
400010,ACE TECHNICAL CHARTER HS,77,38,49.4,106,55,51.9,34,61.8,99,56,56.6,30,53.6,102,66,64.7,44,66.7,91,46,50.5,31,67.4
400013,ASPIRA CHTR - EARLY COLLEGE HS,112,45,40.2,49,35,71.4,22,62.9,87,46,52.9,28,60.9,113,57,50.4,36,63.2,,,,,
400015,ASPIRA CHTR - RAMIREZ HS,81,24,29.6,77,23,29.9,12,52.2,92,33,35.9,17,51.5,71,27,38.0,16,59.3,77,33,42.9,17,51.5
400018,AUSTIN BUS & ENTRP HS,47,19,40.4,61,31,50.8,10,32.3,58,30,51.7,16,53.3,74,41,55.4,23,56.1,113,61,54.0,31,50.8
400022,CHGO ARTS CONTR HS,130,108,83.1,129,92,71.3,78,84.8,,,,,,,,,,,,,,,
400032,CICS-ELLISON,86,59,68.6,117,88,75.2,62,70.5,116,76,65.5,45,59.2,95,61,64.2,45,73.8,93,71,76.3,51,71.8
400033,CICS-LONGWOOD,89,64,71.9,118,68,57.6,40,58.8,130,97,74.6,62,63.9,81,53,65.4,38,71.7,100,76,76.0,51,67.1
400034,CICS-NORTHTOWN,192,153,79.7,161,120,74.5,91,75.8,173,129,74.6,104,80.6,203,135,66.5,100,74.1,174,125,71.8,103,82.4
400035,CHGO MATH & SCI ACAD CAMPUS HS,78,61,78.2,69,39,56.5,33,84.6,62,35,56.5,30,85.7,61,29,47.5,22,75.9,58,30,51.7,21,70.0
400036,CHICAGO VIRTUAL CHTR CAMPUS HS,22,13,59.1,23,16,69.6,10,62.5,9,*,*,*,*,9,*,*,,,,,,,
400038,COMMUNITY CONTR,35,6,17.1,27,7,25.9,*,*,42,6,14.3,*,*,40,3,7.5,*,*,34,4,11.8,*,*
400042,FORD CHTR HS,67,40,59.7,72,29,40.3,9,31.0,69,43,62.3,24,55.8,,,,,,,,,,
400051,NOBLE ST CHTR-NOBLE,126,111,88.1,134,113,84.3,74,65.5,124,96,77.4,77,80.2,117,98,83.8,66,67.3,106,72,67.9,54,75.0
400052,NOBLE ST CHTR-COMER,127,111,87.4,124,108,87.1,79,73.1,101,96,95.0,81,84.4,,,,,,,,,,
400053,NOBLE ST CHTR-GOLDER,128,97,75.8,118,92,78.0,65,70.7,103,82,79.6,61,74.4,92,71,77.2,52,73.2,,,,,
400054,NOBLE ST CHTR-PRITZKER,159,130,81.8,167,124,74.3,80,64.5,122,104,85.2,75,72.1,105,79,75.2,53,67.1,109,81,74.3,59,72.8
400055,NOBLE ST CHTR-RAUNER,132,113,85.6,127,107,84.3,77,72.0,109,85,78.0,69,81.2,102,72,70.6,58,80.6,97,64,66.0,58,90.6
400056,NOBLE ST CHTR-ROWE CLARK,110,86,78.2,109,83,76.1,57,68.7,107,77,72.0,61,79.2,87,72,82.8,45,62.5,,,,,
400057,NOBLE ST CHTR-UIC,179,165,92.2,148,123,83.1,104,84.6,148,82,55.4,64,78.0,,,,,,,,,,
400058,NTH LAWNDALE CHTR-CHRISTIANA,101,81,80.2,85,65,76.5,34,52.3,94,60,63.8,44,73.3,97,60,61.9,39,65.0,63,49,77.8,32,65.3
400059,NTH LAWNDALE CHTR-COLLINS,86,60,69.8,73,46,63.0,28,60.9,85,58,68.2,31,53.4,99,65,65.7,50,76.9,,,,,
400061,PERSPECTIVES CHTR - LEADERSHIP ACADEMY,86,51,59.3,96,66,68.8,44,66.7,66,51,77.3,29,56.9,98,75,76.5,53,70.7,69,45,65.2,28,62.2
400062,PERSPECTIVES CHTR CALUMET TECH,104,60,57.7,92,57,62.0,34,59.6,94,63,67.0,32,50.8,86,65,75.6,47,72.3,41,30,73.2,19,63.3
400064,PERSPECTIVES CHTR JOSLIN,44,31,70.5,51,34,66.7,21,61.8,34,23,67.6,16,69.6,41,31,75.6,19,61.3,39,30,76.9,25,83.3
400066,PERSPECTIVES CHTR IIT,52,40,76.9,50,32,64.0,21,65.6,64,45,70.3,32,71.1,,,,,,,,,,
400070,PROLOGUE HS,40,5,12.5,37,8,21.6,*,*,38,11,28.9,4,36.4,39,11,28.2,5,45.5,37,10,27.0,7,70.0
