School ID|School Name|Network|Rating
400147|Camelot - Chicago Excel High School|Options|Level 3
610565|Camelot - Excel Englewood High School|Options|Level 2+
400176|Camelot - Excel Southwest High School|Options|Level 1
400175|Camelot - Excel Woodlawn High School|Options|Level 1
610573|Camelot Safe High School|Options|Level 2+
400038|Community Services West High School|Options|Level 1+
400148|Instituto - Lozano High School|Options|Level 2
400164|Instituto - Lozano Mastery High School|Options|Level 1
609783|Jefferson High School|Options|Inability to Rate
400137|Little Black Pearl High School|Options|Level 1
610582|Magic Johnson - Englewood High School|Options|Level 2
610580|Magic Johnson - Humboldt Pk High School|Options|Level 3
610566|Magic Johnson - N Lawndale High School|Options|Level 2
610567|Magic Johnson - Roseland High School|Options|Level 2
610569|Ombudsman - Northwest High School|Options|Level 2
610570|Ombudsman - South High School|Options|Level 3
610571|Ombudsman - West High School|Options|Level 2
610557|Pathways - Ashburn High School|Options|Level 2
610568|Pathways - Avondale High School|Options|Level 2
400173|Pathways - Brighton Park High School|Options|Level 2+
610386|Peace And Education High School|Options|Level 1+
400070|Prologue - Early College High School|Options|Level 3
400109|Prologue - Johnston High School|Options|Level 3
610574|Prologue - Winnie Mandela High School|Options|Level 3
609750|Simpson High School|Options|Level 2+
400134|Yccs - Addams High School|Options|Level 1+
400125|Yccs - Aspira Pantoja High School|Options|Level 2+
400126|Yccs - Association House High School|Options|Level 2+
400127|Yccs - Austin Career High School|Options|Level 1+
400131|Yccs - Campos High School|Options|Level 1
400128|Yccs - Cca Academy High School|Options|Level 1
400150|Yccs - Chatham High School|Options|Level 2+
400129|Yccs - Houston High School|Options|Level 2+
400133|Yccs - Innovations High School|Options|Level 2+
400135|Yccs - Latino Youth High School|Options|Level 2+
400124|Yccs - Mckinley High School|Options|Level 2+
400136|Yccs - Olive Harvey High School|Options|Level 2+
400123|Yccs - Scholastic Achievement High School|Options|Level 1
400139|Yccs - Sullivan High School|Options|Level 1+
400141|Yccs - Truman High School|Options|Level 1
400142|Yccs - Virtual High School|Options|Level 1
400143|Yccs - West Town High School|Options|Level 1
400144|Yccs - Westside Holistic High School|Options|Level 1+
400145|Yccs - Youth Connection High School|Options|Level 2+
400130|Yccs - Youth Development High School|Options|Level 2+
609748|York High School|Options|Inability to Rate
School ID|School Name|Network|Rating
400012|Amandla High School|Charter|Level 2
400115|Catalyst - Maria High School|Charter|Level 2
400035|Chicago Math & Science High School|Charter|Level 1+
400036|Chicago Virtual High School|Charter|Level 2+
400113|Cics - Chicagoquest High School|Charter|Level 2
400108|Cics - Hawkins High School|Charter|Level 2
400033|Cics - Longwood High School|Charter|Level 2+
