LELAND|512 S Lavergne Ave Chicago, IL 60644
GREGORY|3715 W Polk St Chicago, IL 60624
SOUTHSIDE HS|7342 S Hoyne Ave Chicago, IL 60636
CAMELOT - EXCEL SOUTHWEST HS|7014 S Washtenaw Ave Chicago, IL 60629
MARSH|9822 S Exchange Ave Chicago, IL 60617
DEPRIEST|139 S Parkside Ave Chicago, IL 60644
TILTON|223 N Keeler Ave Chicago, IL 60624
BANNER WEST HS|819 N Leamington Ave Chicago, IL 60651
PETERSON|5510 N Christiana Ave Chicago, IL 60625
KILMER|6700 N Greenview Ave Chicago, IL 60626
MAYER|2250 N Clifton Ave Chicago, IL 60614
JAMIESON|5650 N Mozart St Chicago, IL 60659
HARVARD|7525 S Harvard Chicago, IL 60620
WASHINGTON HS|3535 E 114th St Chicago, IL 60617
LOWELL|3320 W Hirsch St Chicago, IL 60651
SHIELDS MIDDLE|2611 W 48th St Chicago, IL 60632
CICS - BOND|13300 S Langley Ave Chicago, IL 60827
PRESCOTT|1632 W Wrightwood Ave Chicago, IL 60614
HSA CHTR - CLAY EVANS|Chicago, IL
RAY|5631 S Kimbark Ave Chicago, IL 60637
PERSPECTIVES - TECH HS|8131 S May St Chicago, IL 60620
COLES|8441 S Yates Blvd Chicago, IL 60617
VANDERPOEL|9510 S Prospect Ave Chicago, IL 60643
COURTENAY|4420 N Beacon St Chicago, IL 60640
BARTON|7650 S Wolcott Ave Chicago, IL 60620
JONES HS|700 S State St Chicago, IL 60605
STOCK|7507 W Birchwood Ave Chicago, IL 60631
AUDUBON|3500 N Hoyne Ave Chicago, IL 60618
INSTITUTO - LOZANO HS|2570 S Blue Island Ave Chicago, IL 60608
FINKL|2332 S Western Ave Chicago, IL 60608
YCCS - OLIVE HARVEY|10001 S Woodlawn Ave Chicago, IL 60628
NIXON|2121 N Keeler Ave Chicago, IL 60639
CHICAGO ACADEMY ES|3400 N Austin Ave Chicago, IL 60634
FENGER HS|11220 S Wallace St Chicago, IL 60628
NORTH LAWNDALE - CHRISTIANA HS|1615 S Christiana Ave Chicago, IL 60623
ALDRIDGE|630 E 131st St Chicago, IL 60827
LAKE VIEW HS|4015 N Ashland Ave Chicago, IL 60613
BATEMAN|4220 N Richmond St Chicago, IL 60618
KINZIE|5625 S Mobile Ave Chicago, IL 60638
EBINGER|7350 W Pratt Ave Chicago, IL 60631
YOUNG HS|211 S Laflin St Chicago, IL 60607
LAWNDALE|3500 W Douglas Blvd Chicago, IL 60623
NASH|4837 W ERIE St Chicago, IL 60644-172
YCCS - CHATHAM|9035 S Langley Ave Chicago, IL 60619
AGASSIZ|2851 N Seminary Ave Chicago, IL 60657
NOBLE - JOHNSON HS|6350 S Stewart Ave Chicago, IL 60621
PERSHING|3200 S Calumet Ave Chicago, IL 60616
CULLEN|10650 S Eberhart Ave Chicago, IL 60628
UNO - SOCCER ELEM|5050 S Homan Ave Chicago, IL 60632
LOCKE J|2828 N Oak Park Ave Chicago, IL 60634
MAGIC JOHNSON - N LAWNDALE HS|3222 W Roosevelt Rd Chicago, IL 60624
HIRSCH HS|7740 S Ingleside Ave Chicago, IL 60619
MARSHALL HS|3250 W Adams St Chicago, IL 60624
CARSON|5516 S Maplewood Ave Chicago, IL 60629
EDISON|4929 N Sawyer Ave Chicago, IL 60625
TWAIN|5134 S Lotus Ave Chicago, IL 60638
JENNER|1119 N Cleveland Ave Chicago, IL 60610
OTOOLE|6550 S Seeley Ave Chicago, IL 60636
CHALMERS|2745 W Roosevelt Rd Chicago, IL 60608
JULIAN HS|10330 S Elizabeth St Chicago, IL 60643
CARNEGIE|1414 E 61st Pl Chicago, IL 60637
NOBLE - BULLS HS|2040 W Adams St Chicago, IL 60612
MORGAN PARK HS|1744 W Pryor Ave Chicago, IL 60643
LANGFORD|6010 S Throop St Chicago, IL 60636
FISKE|6020 S Langley Ave Chicago, IL 60637
U OF C - DONOGHUE|707 E 37th St Chicago, IL 60653
NORWOOD PARK|5900 N Nina Ave Chicago, IL 60631
DISNEY II HS|3900 N Lawndale Ave Chicago, IL 60618
MARQUETTE|6550 S Richmond St Chicago, IL 60629
BURNSIDE|650 E 91st Pl Chicago, IL 60619
BROWN R|12607 S Union Ave Chicago, IL 60628
DETT|2131 W Monroe St Chicago, IL 60612
MELODY|3937 W Wilcox St Chicago, IL 60624
UNO - SOCCER HS|5025 S St. Louis Ave Chicago, IL 60632
SKINNER|1260 W Adams St Chicago, IL 60607
KERSHAW|6450 S Lowe Ave Chicago, IL 60621
WEBSTER|4055 W Arthington St Chicago, IL 60624
PRITZKER|2009 W Schiller St Chicago, IL 60622
SHABAZZ - SIZEMORE|6936 S Hermitage Ave Chicago, IL 60636
CICS - WASHINGTON PARK|110 E 61st St Chicago, IL 60637
BRADWELL|7736 S Burnham Ave Chicago, IL 60649
DORE|6108 S Natoma Ave Chicago, IL 60638
SUMNER|4320 W 5th Ave Chicago, IL 60624
IRVING|749 S Oakley Blvd Chicago, IL 60612
