LELAND|512 S Lavergne Ave Chicago, IL 60644
GREGORY|3715 W Polk St Chicago, IL 60624
SOUTHSIDE HS|7342 S Hoyne Ave Chicago, IL 60636
CAMELOT - EXCEL SOUTHWEST HS|7014 S Washtenaw Ave Chicago, IL 60629
MARSH|9822 S Exchange Ave Chicago, IL 60617
DEPRIEST|139 S Parkside Ave Chicago, IL 60644
TILTON|223 N Keeler Ave Chicago, IL 60624
BANNER WEST HS|819 N Leamington Ave Chicago, IL 60651
PETERSON|5510 N Christiana Ave Chicago, IL 60625
KILMER|6700 N Greenview Ave Chicago, IL 60626
MAYER|2250 N Clifton Ave Chicago, IL 60614
JAMIESON|5650 N Mozart St Chicago, IL 60659
HARVARD|7525 S Harvard Chicago, IL 60620
WASHINGTON HS|3535 E 114th St Chicago, IL 60617
LOWELL|3320 W Hirsch St Chicago, IL 60651
SHIELDS MIDDLE|2611 W 48th St Chicago, IL 60632
CICS - BOND|13300 S Langley Ave Chicago, IL 60827
PRESCOTT|1632 W Wrightwood Ave Chicago, IL 60614
