Early College Credit and Career Certification (ECCC) SY2015 Metric,,,"The Early College Credit and Career Certification (ECCC) metric used in SQRP measures the percent of students graduating in the most recent year who have earned at least one credit from an approved early college course, a 3+ on an AP exam, a 4+ on an IB exam, or an approved career certification. This metric measures the extent to which students are offered the opportunity to pursue early college credit and career certifications during their high school career.                                                                                                                                                                                          ",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
School ID,School Name,Network,Graduates,Students Earning ECCC,,Dual Credit,,Dual Enrollment,,AP Exam,,IB Exam,,CTE,,JROTC,
,,,Number,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent
400010,ACE TECHNICAL CHARTER HS,Charter,78,76,97.4,0,0.0,1,1.3,2,2.6,0,0.0,76,97.4,0,0.0
400013,ASPIRA CHTR - EARLY COLLEGE HS,Charter,64,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
400015,ASPIRA CHTR - RAMIREZ HS,Charter,65,2,3.1,0,0.0,2,3.1,0,0.0,0,0.0,0,0.0,0,0.0
400018,AUSTIN BUS & ENTRP HS,Network 3,43,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
400022,CHGO ARTS CONTR HS,Contract,106,43,40.6,0,0.0,2,1.9,41,38.7,0,0.0,0,0.0,0,0.0
400032,CICS-ELLISON,Charter,95,2,2.1,0,0.0,2,2.1,0,0.0,0,0.0,0,0.0,0,0.0
400033,CICS-LONGWOOD,Charter,77,3,3.9,0,0.0,0,0.0,0,0.0,0,0.0,3,3.9,0,0.0
400034,CICS-NORTHTOWN,Charter,166,29,17.5,0,0.0,21,12.7,11,6.6,0,0.0,1,0.6,0,0.0
400035,CHGO MATH & SCI ACAD CAMPUS HS,Charter,77,12,15.6,0,0.0,2,2.6,9,11.7,0,0.0,2,2.6,0,0.0
400036,CHICAGO VIRTUAL CHTR CAMPUS HS,Charter,22,4,18.2,0,0.0,1,4.5,0,0.0,0,0.0,3,13.6,0,0.0
400038,COMMUNITY CONTR,Options,24,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
400042,FORD CHTR HS,Charter,87,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
400051,NOBLE ST CHTR-NOBLE,Charter,121,7,5.8,0,0.0,0,0.0,6,5.0,1,0.8,0,0.0,0,0.0
400052,NOBLE ST CHTR-COMER,Charter,137,20,14.6,0,0.0,0,0.0,19,13.9,0,0.0,1,0.7,0,0.0
400053,NOBLE ST CHTR-GOLDER,Charter,125,56,44.8,0,0.0,1,0.8,56,44.8,0,0.0,0,0.0,0,0.0
400054,NOBLE ST CHTR-PRITZKER,Charter,189,50,26.5,0,0.0,0,0.0,50,26.5,0,0.0,0,0.0,0,0.0
400055,NOBLE ST CHTR-RAUNER,Charter,123,39,31.7,0,0.0,0,0.0,39,31.7,0,0.0,0,0.0,0,0.0
400056,NOBLE ST CHTR-ROWE CLARK,Charter,118,23,19.5,0,0.0,0,0.0,23,19.5,0,0.0,0,0.0,0,0.0
400057,NOBLE ST CHTR-UIC,Charter,171,62,36.3,0,0.0,1,0.6,61,35.7,0,0.0,1,0.6,0,0.0
400058,NTH LAWNDALE CHTR-CHRISTIANA,Charter,75,1,1.3,0,0.0,0,0.0,1,1.3,0,0.0,0,0.0,0,0.0
400059,NTH LAWNDALE CHTR-COLLINS,Charter,76,1,1.3,0,0.0,0,0.0,0,0.0,0,0.0,1,1.3,0,0.0
400061,PERSPECTIVES CHTR - LEADERSHIP ACADEMY,Charter,109,4,3.7,0,0.0,2,1.8,1,0.9,0,0.0,2,1.8,0,0.0
400062,PERSPECTIVES CHTR CALUMET TECH,Charter,104,4,3.8,0,0.0,2,1.9,0,0.0,0,0.0,2,1.9,0,0.0
400064,PERSPECTIVES CHTR JOSLIN,Charter,49,4,8.2,0,0.0,0,0.0,4,8.2,0,0.0,0,0.0,0,0.0
400066,PERSPECTIVES CHTR IIT,Charter,75,7,9.3,0,0.0,1,1.3,4,5.3,0,0.0,3,4.0,0,0.0
400070,PROLOGUE HS,Options,34,1,2.9,0,0.0,0,0.0,1,2.9,0,0.0,0,0.0,0,0.0
400073,SHABAZZ CHTR-DUSABLE,Charter,11,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
400077,UNIV OF CHGO CHTR-WOODLAWN,Charter,50,3,6.0,0,0.0,3,6.0,0,0.0,0,0.0,0,0.0,0,0.0
400085,UNO CHTR - MAJOR HECTOR P.GARCIA,Charter,119,65,54.6,0,0.0,8,6.7,63,52.9,0,0.0,0,0.0,0,0.0
400086,URBAN PREP CHTR-ENGLEWOOD,Charter,76,3,3.9,0,0.0,2,2.6,1,1.3,0,0.0,0,0.0,0,0.0
400087,YNG WOMEN-CHTR CAMPUS,Charter,43,3,7.0,0,0.0,1,2.3,3,7.0,0,0.0,0,0.0,0,0.0
400091,CHICAGO TECH ACADEMY,Contract,61,8,13.1,0,0.0,0,0.0,2,3.3,0,0.0,6,9.8,0,0.0
400094,EPIC CHTR HS,Charter,87,16,18.4,0,0.0,15,17.2,4,4.6,0,0.0,0,0.0,0,0.0
